Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY25 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,250000.00,0.00,DSF0001112774
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,11/14/2024,DOES,,DOES,65832.00,0.00,DSF0001084941
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,4/1/2024,DOES,,DOES,460599.00,0.00,DSF0001085734
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Scope,Complete,4/9/2019,8/22/2019,9/20/2019,22622,12165.00,12165.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Design,Complete,10/23/2019,3/27/2020,6/8/2020,113110,147107.00,118774.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Construction,In-Progress,10/18/2021,4/10/2023,,2544967,2376098.00,2025581.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,"CM,F&E",In-Progress,10/18/2021,4/10/2023,,158354,669306.00,589808.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Scope,Complete,5/14/2024,9/30/2024,10/31/2024,96886,212227.00,173316.00,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Design,In-Progress,11/15/2024,4/21/2025,,452136,452136.00,24365.00,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,7169580,7169580.00,43729.00,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,710499,710499.00,38958.00,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,7/7/2022,11/4/2022,7/27/2022,3838,2363.00,2363.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,7/27/2022,1/25/2023,9/21/2022,17271,9450.00,9450.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,6/5/2023,4/29/2024,,222607,204544.00,177952.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,6/5/2023,4/29/2024,,117815,108130.00,76322.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA IEH,PO18-ACM REMOVAL OF PIPE INSULATION OVER THE AUDITORIUM ENTRY DOORS LOCATED IN THE 1ST FLOOR THE INS,Construction,In-Progress,7/24/2024,IEH,,IEH,717.00,142.00,SCA0000073170
1,M061,P.S. 361 - MANHATTAN,SCA IEH,PO18-ABATE WALL PLASTER IN ROOM 306 APPROX. 50 SQFT.,Construction,Complete,10/22/2024,IEH,12/17/2024,IEH,34895.00,2656.00,SCA0000073526
1,M061,P.S. 361 - MANHATTAN,SCA IEH,PO18-ABATE PIPE INSULATION ROOM 101- STORAGE ROOM SPACE ID# 2101 - STORAGE ROOM -  15 LINEAR FEET CU,Construction,Complete,1/23/2025,IEH,3/9/2025,IEH,164.00,164.00,SCA0000073831
1,M061,P.S. 361 - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001112775
1,M061,P.S. 361 - MANHATTAN,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001086194
1,M061,P.S. 315 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,Complete,5/31/2022,DOES,6/23/2022,DOES,72044.00,71075.00,DSF0001008951
1,M063,P.S. 63 - MANHATTAN,SCA IEH,PO18-ABATEMENT OF PIPE INSULATION 1ST FL GIRL BATHROOM AREAS ARE MARKED AND IT IS ABOUT 40 BY 45 LIN,Construction,Complete,10/8/2024,IEH,10/19/2024,IEH,26217.00,13467.00,SCA0000073479
1,M063,P.S. 63 - MANHATTAN,SCA IEH,PO18-ABATE WIRE INSULATION  IN  GYM CLOSET,Construction,Complete,12/12/2024,IEH,12/13/2024,IEH,13489.00,13489.00,SCA0000073702
1,M063,P.S. 363 - MANHATTAN,Fast Track Projects,LSP FY23 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,11/29/2023,FTK,,FTK,108253.00,90475.00,DSF0001035647
1,M063,P.S. 63 - MANHATTAN,DOE - RESOA,FY22 RESO A BATHROOM UPGRADES,Construction,In-Progress,10/7/2022,DOER,,DOER,202779.00,0.00,DSF0001033635
1,M063,P.S. 63 - MANHATTAN,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001112776
1,M063,P.S. 363 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,Complete,7/27/2022,DOES,9/26/2022,DOES,94774.00,93499.00,DSF0001009098
1,M063,P.S. 63 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,10/24/2023,DOES,11/26/2024,DOES,65832.00,,DSF0001084198
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,6/20/2019,11/5/2019,12/23/2019,111561,221438.00,217375.00,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,1/8/2020,6/9/2020,6/30/2020,551747,758490.00,697684.00,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,5/24/2021,5/23/2023,,11889967,11860677.00,10539908.00,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,5/24/2021,5/23/2023,,826395,1508622.00,1499195.00,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,Scope,Complete,12/2/2019,3/4/2020,2/11/2020,0,28094.00,28094.00,DSF0000913307
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,Design,Complete,2/11/2020,6/25/2020,1/2/2024,74829,141547.00,101932.00,DSF0000913307
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,1097491,1097491.00,24575.00,DSF0000913307
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,74829,74829.00,26300.00,DSF0000913307
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE,Scope,Complete,3/18/2020,6/17/2020,12/4/2020,0,18840.00,18840.00,DSF0000913306
